t,u0,u1
2.122122122122122256e+00,2.458883504948282894e+00,9.663525800363119700e-01
2.132132132132132263e+00,2.449868241096020416e+00,9.690643787004596943e-01
2.142142142142142269e+00,2.440831766799260283e+00,9.717505928186846997e-01
2.152152152152152276e+00,2.431777367361007691e+00,9.744095325009244357e-01
2.162162162162162282e+00,2.422708421452217653e+00,9.770394486440163728e-01
2.172172172172172289e+00,2.413628401111795885e+00,9.796385329316982249e-01
2.182182182182182295e+00,2.404540871746597031e+00,9.822049178346079490e-01
2.192192192192192302e+00,2.395449492131427327e+00,9.847366766102836344e-01
2.202202202202202308e+00,2.386358014409041495e+00,9.872318233031632806e-01
2.212212212212212314e+00,2.377270284090145847e+00,9.896883127445855743e-01
2.222222222222222321e+00,2.368190240053395623e+00,9.921040405527888906e-01
2.232232232232232327e+00,2.359121914545396770e+00,9.944768431329120695e-01
2.242242242242242334e+00,2.350069433180705047e+00,9.968044976769940835e-01
2.252252252252252340e+00,2.341037014941826033e+00,9.990847221639740372e-01
2.262262262262262347e+00,2.332028972179216009e+00,1.001315175359691168e+00
2.272272272272272353e+00,2.323049710611280627e+00,1.003493456816884954e+00
2.282282282282282360e+00,2.314103729324376690e+00,1.005617106875194899e+00
2.292292292292292366e+00,2.305195620772809484e+00,1.007683606661160969e+00
2.302302302302302373e+00,2.296328685478665754e+00,1.009691672327480472e+00
2.312312312312312379e+00,2.287503803187427298e+00,1.011642670869321137e+00
2.322322322322322385e+00,2.278731052471016483e+00,1.013529956175956759e+00
2.332332332332332392e+00,2.270021479793671748e+00,1.015346136594377002e+00
2.342342342342342398e+00,2.261386076615509833e+00,1.017084004320249147e+00
2.352352352352352405e+00,2.252835779392526661e+00,1.018736535397919196e+00
2.362362362362362411e+00,2.244381469576595123e+00,1.020296889720410771e+00
2.372372372372372418e+00,2.236033973615466408e+00,1.021758411029426661e+00
2.382382382382382424e+00,2.227804062952770003e+00,1.023114626915346825e+00
2.392392392392392431e+00,2.219702454028013694e+00,1.024359248817230394e+00
2.402402402402402437e+00,2.211739808276583119e+00,1.025486172022813669e+00
2.412412412412412444e+00,2.203926732129741772e+00,1.026489475668511897e+00
2.422422422422422450e+00,2.196273777014631889e+00,1.027363422739418386e+00
2.432432432432432456e+00,2.188791439354274004e+00,1.028102460069304502e+00
2.442442442442442463e+00,2.181490160567565617e+00,1.028701218340619894e+00
2.452452452452452469e+00,2.174380327069283414e+00,1.029154512084492490e+00
2.462462462462462476e+00,2.167472270270081935e+00,1.029457339680728500e+00
2.472472472472472482e+00,2.160776266576493576e+00,1.029604883357811973e+00
2.482482482482482489e+00,2.154302537390929029e+00,1.029592509192905458e+00
2.492492492492492495e+00,2.148061249111677729e+00,1.029415767111849567e+00
2.502502502502502502e+00,2.142062513132906076e+00,1.029070390889163411e+00
2.512512512512512508e+00,2.136316385844658772e+00,1.028552298148043942e+00
2.522522522522522515e+00,2.130832868632860144e+00,1.027857590360366391e+00
2.532532532532532521e+00,2.125621907879310601e+00,1.026982552846684493e+00
2.542542542542542527e+00,2.120693394961690181e+00,1.025923654776229821e+00
2.552552552552552534e+00,2.116057166253555888e+00,1.024677549166912227e+00
2.562562562562562540e+00,2.111723003124344356e+00,1.023241072885319847e+00
2.572572572572572547e+00,2.107700631939368741e+00,1.021611246646719096e+00
2.582582582582582553e+00,2.103999724059820942e+00,1.019785275015054671e+00
2.592592592592592560e+00,2.100629895842771599e+00,1.017760546402949107e+00
2.602602602602602566e+00,2.097600708641168321e+00,1.015534633071703219e+00
2.612612612612612573e+00,2.094921668803838344e+00,1.013105291131296548e+00
2.622622622622622579e+00,2.092602227675484983e+00,1.010470460540386028e+00
2.632632632632632586e+00,2.090651781596691627e+00,1.007628265106307763e+00
2.642642642642642592e+00,2.089079671903918634e+00,1.004577012485075027e+00
2.652652652652652598e+00,2.087895184929505543e+00,1.001315194181380042e+00
2.662662662662662605e+00,2.087107552001668420e+00,9.978414855485928658e-01
2.672672672672672611e+00,2.086727270977664972e+00,9.941506252117726650e-01
2.682682682682682618e+00,2.086762680974578732e+00,9.902344843700847665e-01
2.692692692692692624e+00,2.087213400759885484e+00,9.861011067873557412e-01
2.702702702702702631e+00,2.088078119565223822e+00,9.817594964480701458e-01
2.712712712712712637e+00,2.089354974972896350e+00,9.772187232799786072e-01
2.722722722722722644e+00,2.091041552915870128e+00,9.724879231540983771e-01
2.732732732732732650e+00,2.093134887677778444e+00,9.675762978847127771e-01
2.742742742742742657e+00,2.095631461892916825e+00,9.624931152293715320e-01
2.752752752752752663e+00,2.098527206546247914e+00,9.572477088888905472e-01
2.762762762762762669e+00,2.101817500973396591e+00,9.518494785073522424e-01
2.772772772772772676e+00,2.105497172860654853e+00,9.463078896721051070e-01
2.782782782782782682e+00,2.109560498244976934e+00,9.406324739137640334e-01
2.792792792792792689e+00,2.114001201513983297e+00,9.348328287062102060e-01
2.802802802802802695e+00,2.118812455405957973e+00,9.289186174665911011e-01
2.812812812812812702e+00,2.123986881009851224e+00,9.228995695553205980e-01
2.822822822822822708e+00,2.129516547765275991e+00,9.167854802760786459e-01
2.832832832832832715e+00,2.135392973462511446e+00,9.105862108758115969e-01
2.842842842842842721e+00,2.141607124242500326e+00,9.043116885447323172e-01
2.852852852852852727e+00,2.148149414596850271e+00,8.979719064163197428e-01
2.862862862862862734e+00,2.155009707367833816e+00,8.915769235673189907e-01
2.872872872872872740e+00,2.162177313748387952e+00,8.851368650177418029e-01
2.882882882882882747e+00,2.169640993282114572e+00,8.786619217308659913e-01
2.892892892892892753e+00,2.177388953863279575e+00,8.721623506132356596e-01
2.902902902902902760e+00,2.185408851736814206e+00,8.656484745146614257e-01
2.912912912912912766e+00,2.193687791498314166e+00,8.591306822282199773e-01
2.922922922922922773e+00,2.202212326094039163e+00,8.526194284902544052e-01
2.932932932932932779e+00,2.210968456820914252e+00,8.461252339803740918e-01
2.942942942942942786e+00,2.219941633326528940e+00,8.396586853214547119e-01
2.952952952952952792e+00,2.229116753609137191e+00,8.332304350796382320e-01
2.962962962962962798e+00,2.238478164017657868e+00,8.268512017643329104e-01
2.972972972972972805e+00,2.248009659251674286e+00,8.205317698282134087e-01
2.982982982982982811e+00,2.257694482361434218e+00,8.142829896672204582e-01
2.992992992992992818e+00,2.267515324747850336e+00,8.081157776205613041e-01
3.003003003003002824e+00,2.277454326162500209e+00,8.020411159707093729e-01
3.013013013013012831e+00,2.287493074707625862e+00,7.960700529434043826e-01
3.023023023023022837e+00,2.297612606836132887e+00,7.902137027076526765e-01
3.033033033033032844e+00,2.307793407351593107e+00,7.844832453757263346e-01
3.043043043043042850e+00,2.318031175676103839e+00,7.788847995386243284e-01
3.053053053053052857e+00,2.328337970740241403e+00,7.734157004383948042e-01
3.063063063063062863e+00,2.338701089233612862e+00,7.680786764950118251e-01
3.073073073073072869e+00,2.349107672685903925e+00,7.628764110637319407e-01
3.083083083083082876e+00,2.359545270707324782e+00,7.578113855325482318e-01
3.093093093093092882e+00,2.370001840988614106e+00,7.528858793221907542e-01
3.103103103103102889e+00,2.380465749301035050e+00,7.481019698861263167e-01
3.113113113113112895e+00,2.390925769496378805e+00,7.434615327105583704e-01
3.123123123123122902e+00,2.401371083506961934e+00,7.389662413144271191e-01
3.133133133133132908e+00,2.411791281345627702e+00,7.346175672494096309e-01
3.143143143143142915e+00,2.422176361105746523e+00,7.304167800999197269e-01
3.153153153153152921e+00,2.432516728961214181e+00,7.263649474831079811e-01
3.163163163163162928e+00,2.442803199166453609e+00,7.224629350488614987e-01
3.173173173173172934e+00,2.453026994056413557e+00,7.187114064798043600e-01
3.183183183183182940e+00,2.463179744046569031e+00,7.151108234912976203e-01
3.193193193193192947e+00,2.473253487632923076e+00,7.116614458314386438e-01
3.203203203203202953e+00,2.483240671392003218e+00,7.083633312810617699e-01
3.213213213213213404e+00,2.493134149980865466e+00,7.052163356537380912e-01
3.223223223223223410e+00,2.502927186137088977e+00,7.022201127957755640e-01
3.233233233233233417e+00,2.512613450678782279e+00,6.993741145862186759e-01
3.243243243243243423e+00,2.522187022504579712e+00,6.966775909368488895e-01
3.253253253253253430e+00,2.531642388593641879e+00,6.941295897921843094e-01
3.263263263263263436e+00,2.540974444005654753e+00,6.917289571294797934e-01
3.273273273273273443e+00,2.550178491880832787e+00,6.894743369587269521e-01
3.283283283283283449e+00,2.559250243439914474e+00,6.873641713226542604e-01
3.293293293293293456e+00,2.568185817984167230e+00,6.853967002967267241e-01
3.303303303303303462e+00,2.576981742895382954e+00,6.835699619891464351e-01
3.313313313313313468e+00,2.585634953635880251e+00,6.818817925408520164e-01
3.323323323323323475e+00,2.594142793748505760e+00,6.803298261255188439e-01
3.333333333333333481e+00,2.602503014856630159e+00,6.789114949495591578e-01
3.343343343343343488e+00,2.610713776664152164e+00,6.776240292521219510e-01
3.353353353353353494e+00,2.618773646955496304e+00,6.764644573050928589e-01
3.363363363363363501e+00,2.626681601595613813e+00,6.754296054130943805e-01
3.373373373373373507e+00,2.634437024529982629e+00,6.745160979134857682e-01
3.383383383383383514e+00,2.642039707784606506e+00,6.737203571763630272e-01
3.393393393393393520e+00,2.649489851466015455e+00,6.730386036045588050e-01
3.403403403403403527e+00,2.656788063761266194e+00,6.724668556336427239e-01
3.413413413413413533e+00,2.663935360937943031e+00,6.720009297319209374e-01
3.423423423423423539e+00,2.670933167344154313e+00,6.716364404004365740e-01
3.433433433433433546e+00,2.677783315408537312e+00,6.713688001729694044e-01
3.443443443443443552e+00,2.684488045640253784e+00,6.711932196160358410e-01
3.453453453453453559e+00,2.691050006628992630e+00,6.711047073288892717e-01
3.463463463463463565e+00,2.697472255044969458e+00,6.710980699435198371e-01
3.473473473473473572e+00,2.703758255638926578e+00,6.711679121246542090e-01
3.483483483483483578e+00,2.709911881242131226e+00,6.713086365697560343e-01
