epoch,parameter1,parameter2
379,-1.9836581,0.0031212522
380,-1.9839334,0.0031577256
381,-1.984197,0.003112551
382,-1.9844751,0.0029579399
383,-1.9847202,0.0030902391
384,-1.98499,0.0031638064
385,-1.9852561,0.0031582476
386,-1.9855075,0.002957911
387,-1.9857692,0.0029390214
388,-1.9860076,0.0029539159
389,-1.9862419,0.0030024243
390,-1.9864748,0.002873219
391,-1.9867014,0.0028038817
392,-1.9869492,0.0027005929
393,-1.9871639,0.0029020547
394,-1.9873892,0.0028614367
395,-1.9876086,0.0029378396
396,-1.9878155,0.0028491244
397,-1.988018,0.0028990142
398,-1.9882497,0.002852763
399,-1.9884574,0.0027634178
400,-1.9886745,0.0027634832
401,-1.9888593,0.0028148168
402,-1.9890493,0.0026925723
403,-1.9892489,0.0027305677
404,-1.9894359,0.0027151757
405,-1.9896492,0.0026482104
406,-1.98985,0.0026788022
407,-1.990032,0.0026114532
408,-1.9902053,0.0026541557
409,-1.9904019,0.0026096115
410,-1.9905918,0.0025231694
411,-1.9907557,0.0024820806
412,-1.9909129,0.002333692
413,-1.9910766,0.002321264
414,-1.9912387,0.0023037316
415,-1.9913994,0.0024654751
416,-1.9915577,0.002337653
417,-1.9917237,0.00227073
418,-1.9918728,0.0023457443
419,-1.9920143,0.0023848678
420,-1.9921699,0.002277756
421,-1.9923398,0.0023485716
422,-1.9924668,0.002329586
423,-1.9925961,0.002129183
424,-1.9927645,0.0024003375
425,-1.9928967,0.0023589786
426,-1.9930189,0.0022939234
427,-1.9931588,0.0023284345
428,-1.9932947,0.002242219
429,-1.9934126,0.0021272975
430,-1.9935437,0.0021271047
431,-1.9936657,0.0020641717
432,-1.9937897,0.0019530684
433,-1.9939252,0.001990561
434,-1.9940362,0.0020919708
435,-1.9941677,0.0020586867
436,-1.9942844,0.0021174033
437,-1.9943957,0.0019784032
438,-1.9945037,0.002153681
439,-1.9946125,0.002063773
440,-1.9947236,0.002077395
441,-1.9948376,0.0019358089
442,-1.9949483,0.00193075
443,-1.995034,0.0018722669
444,-1.995133,0.0019170687
445,-1.9952276,0.002040933
446,-1.9953437,0.0020402113
447,-1.9954298,0.0018439665
448,-1.9955499,0.0018509381
449,-1.9956559,0.0019657302
450,-1.9957124,0.0018595717
451,-1.9958093,0.0019884175
452,-1.9958845,0.0021350067
453,-1.9959528,0.0021261992
454,-1.9960293,0.002049957
455,-1.9961116,0.0018507683
456,-1.996205,0.0018053532
457,-1.9962435,0.00173243
458,-1.9962817,0.0017768632
459,-1.9963231,0.0017473745
460,-1.9963553,0.0017274907
461,-1.9963909,0.0017301058
462,-1.9964172,0.0018315059
463,-1.9964584,0.0018116509
464,-1.996495,0.0017290281
465,-1.9965252,0.0017545553
466,-1.9965605,0.001691733
467,-1.996595,0.0017630977
468,-1.9966352,0.0017248044
469,-1.9966731,0.0017136985
470,-1.9967115,0.0016765881
471,-1.9967502,0.0016503383
472,-1.9967782,0.0016957914
473,-1.9968117,0.0016525086
474,-1.9968417,0.0016929193
475,-1.9968739,0.0016701077
476,-1.996912,0.0017451914
477,-1.9969354,0.0017381276
478,-1.9969661,0.0016877258
479,-1.9970047,0.0015337529
480,-1.9970421,0.0015661529
481,-1.9970672,0.0015780944
482,-1.9970955,0.0016510306
483,-1.9971254,0.0016676197
484,-1.9971507,0.0016811143
485,-1.9971845,0.0014961708
486,-1.9972042,0.0015309599
487,-1.997219,0.001638995
488,-1.997251,0.0015910381
489,-1.9972851,0.0015824393
490,-1.9973122,0.0015051598
491,-1.9973348,0.0014841788
492,-1.9973559,0.0015531753
493,-1.9973701,0.0014307614
494,-1.9973981,0.0015299404
495,-1.9974052,0.0015237766
496,-1.9974382,0.0015436168
497,-1.9974551,0.0014947252
498,-1.997486,0.0014558942
499,-1.9975072,0.0014142492
500,-1.9975339,0.001434057
501,-1.9975554,0.0013953673
502,-1.9975904,0.0014217895
503,-1.9976143,0.0014451635
504,-1.9976335,0.0014189734
505,-1.9976574,0.0014444481
506,-1.997678,0.0014080779
507,-1.997703,0.0014212535
508,-1.9977214,0.0014762788
509,-1.9977415,0.0014151658
510,-1.9977659,0.0014775265
511,-1.9977821,0.0015754591
512,-1.9977978,0.0014909505
513,-1.9978205,0.001468511
514,-1.9978306,0.0014350899
515,-1.9978497,0.001410486
516,-1.9978718,0.0013806334
517,-1.9978831,0.0013526567
518,-1.9979105,0.0014032525
519,-1.9979303,0.0013789561
520,-1.9979584,0.0013706143
521,-1.9979758,0.001364906
522,-1.9979982,0.0014619444
523,-1.9980055,0.0013959907
524,-1.9980295,0.0013483206
525,-1.9980552,0.0013731502
526,-1.9980657,0.0014305195
527,-1.9980865,0.0013493078
528,-1.9980944,0.0013338199
529,-1.9981014,0.0013712371
530,-1.9981192,0.001456639
531,-1.9981319,0.0014638759
532,-1.9981569,0.0013250278
533,-1.9981785,0.001306467
534,-1.9981899,0.0012522027
535,-1.9982048,0.0012553732
536,-1.9982035,0.0012199443
537,-1.9982083,0.0011188439
538,-1.9982054,0.0012031002
539,-1.998206,0.0012142785
540,-1.998223,0.0011459357
541,-1.9982542,0.0011257711
542,-1.9982626,0.0011699804
543,-1.9982648,0.0012374687
544,-1.998271,0.0011874586
545,-1.9982958,0.001160531
546,-1.9982995,0.001060729
547,-1.9983126,0.001164086
548,-1.9983243,0.0012850726
549,-1.9983352,0.0013196598
550,-1.9983433,0.0012661605
551,-1.9983565,0.0012209173
552,-1.9983633,0.0011431994
553,-1.9983759,0.0011456195
554,-1.9983679,0.0011379741
555,-1.9983898,0.001156875
556,-1.9984021,0.0011623512
557,-1.9984167,0.0011916138
558,-1.9984256,0.0011492932
559,-1.9984338,0.0010931988
560,-1.9984398,0.0011005708
561,-1.9984528,0.000959537
562,-1.9984586,0.001008829
563,-1.9984523,0.001213998
564,-1.9984497,0.0012826625
565,-1.9984459,0.0011764264
566,-1.9984494,0.0011762729
567,-1.9984587,0.0011743361
568,-1.9984615,0.0011738023
569,-1.9984639,0.0010847636
570,-1.9984689,0.0010389871
571,-1.9984721,0.0010504957
572,-1.9984777,0.0010421723
573,-1.9984773,0.0011170297
574,-1.9984881,0.0011188871
575,-1.9984925,0.0011208119
576,-1.9984988,0.0011046142
577,-1.9984995,0.0011184292
578,-1.9985052,0.0011174716
579,-1.9985106,0.001095291
580,-1.9985117,0.001096436
581,-1.9985194,0.0010948052
582,-1.9985287,0.0011471119
583,-1.9985256,0.0010735396
584,-1.9985362,0.0010470325
