t,u1,u2,u3
1.8518518,0.67200327,-0.20621893,-1.2222025
1.8618618,0.6738219,-0.21424219,-1.2194912
1.8718718,0.675717,-0.22225627,-1.2166517
1.8818818,0.67768854,-0.2302613,-1.2136819
1.8918918,0.6797357,-0.23825786,-1.2105819
1.901902,0.6818583,-0.24624547,-1.2073506
1.911912,0.6840557,-0.25422427,-1.2039865
1.921922,0.6863275,-0.262194,-1.2004899
1.931932,0.68867296,-0.27015492,-1.1968585
1.941942,0.6910911,-0.27810654,-1.1930927
1.951952,0.69358194,-0.28605017,-1.189191
1.961962,0.6961442,-0.2939839,-1.1851532
1.971972,0.69877684,-0.30190977,-1.1809763
1.981982,0.7014798,-0.3098255,-1.1766617
1.991992,0.70425147,-0.3177329,-1.1722072
2.002002,0.7070912,-0.32563087,-1.1676126
2.012012,0.7099978,-0.33351967,-1.1628754
2.022022,0.71297026,-0.34139928,-1.157996
2.032032,0.71600765,-0.34926876,-1.1529725
2.042042,0.7191086,-0.35712942,-1.1478037
2.052052,0.7222722,-0.36497936,-1.1424897
2.062062,0.7254966,-0.37281963,-1.137028
2.072072,0.7287808,-0.38064954,-1.1314185
2.082082,0.7321234,-0.38846835,-1.1256597
2.092092,0.7355229,-0.39627585,-1.1197498
2.102102,0.73897773,-0.40407214,-1.1136882
2.112112,0.74248654,-0.41185662,-1.1074742
2.122122,0.74604744,-0.4196274,-1.1011063
2.132132,0.7496586,-0.42738613,-1.0945828
2.142142,0.75331855,-0.43513045,-1.0879029
2.152152,0.7570256,-0.44285986,-1.081065
2.162162,0.7607774,-0.4505745,-1.0740684
2.172172,0.7645726,-0.45827243,-1.0669115
2.182182,0.76840854,-0.46595356,-1.0595933
2.192192,0.77228415,-0.47361645,-1.0521127
2.2022023,0.7761964,-0.48126027,-1.0444677
2.2122123,0.7801432,-0.4888843,-1.0366584
2.2222223,0.78412277,-0.49648687,-1.0286833
2.2322323,0.78813326,-0.50406605,-1.0205401
2.2422423,0.7921716,-0.5116214,-1.0122288
2.2522523,0.79623544,-0.519152,-1.0037475
2.2622623,0.80032253,-0.5266556,-0.9950964
