epoch,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13
107,1.1948956,1.1870356,0.4137967,0.7319418,0.09918155,0.213416,2.1876917,1.4044489,2.6178777,0.79545563,0.39638814,1.7413883,0.09312111
108,1.1940078,1.1853286,0.41255185,0.73020416,0.09821768,0.21193168,2.1980934,1.4060723,2.6245909,0.79546314,0.3966337,1.7421148,0.092233576
109,1.1930425,1.183557,0.41146275,0.7283495,0.09742351,0.21060683,2.2083294,1.407948,2.6312358,0.7960806,0.39711043,1.7426649,0.09174025
110,1.1921835,1.1816593,0.41053575,0.7265408,0.09670518,0.2091658,2.218485,1.4095756,2.6379075,0.79624087,0.39765325,1.7430822,0.0914545
111,1.1912844,1.1797453,0.41017687,0.7243858,0.09578786,0.20782612,2.2287474,1.4112322,2.6444952,0.7970075,0.39830896,1.7434167,0.091391616
112,1.1904529,1.1779629,0.40922147,0.72253025,0.09492957,0.2063358,2.2389333,1.4128758,2.6509337,0.79793364,0.39862627,1.7441034,0.090606086
113,1.1895813,1.1762248,0.40801755,0.7209273,0.093963735,0.20487373,2.2492244,1.4145169,2.6573262,0.7988672,0.3987768,1.7449573,0.08946418
114,1.1886679,1.1745305,0.40671453,0.71953833,0.0930063,0.20335004,2.2595239,1.4163295,2.663635,0.80040675,0.39881313,1.7460377,0.08789816
115,1.1877928,1.1728783,0.40482065,0.71849495,0.09199108,0.20178683,2.2698824,1.4180135,2.6700475,0.80102104,0.39850453,1.7473884,0.08571845
116,1.1868287,1.1711173,0.40327036,0.7172447,0.09115257,0.20033023,2.2802522,1.4197942,2.67659,0.80144113,0.39850423,1.7484033,0.08419758
117,1.1859236,1.1690781,0.40246883,0.7154761,0.09043389,0.19904217,2.2907581,1.4214716,2.683271,0.80179894,0.39891517,1.7490106,0.08356969
118,1.1849918,1.1672212,0.401654,0.71362317,0.08964005,0.19766901,2.301137,1.4231744,2.6897843,0.8028072,0.39922643,1.7496961,0.08275315
119,1.184185,1.1653394,0.4005083,0.7120367,0.08882926,0.19615397,2.3115594,1.4247934,2.6961868,0.8038644,0.39940366,1.7504971,0.08166233
120,1.183322,1.16353,0.39934474,0.7105976,0.08791301,0.19474243,2.3221116,1.4265887,2.7027245,0.80474776,0.3995444,1.75142,0.080332056
121,1.1823833,1.1616833,0.3979051,0.7090128,0.08730256,0.19354203,2.3324943,1.4282197,2.7094615,0.80413204,0.39997378,1.7519553,0.07976691
122,1.1815593,1.1595838,0.3978008,0.70683706,0.08646849,0.19216698,2.342972,1.4297973,2.7157917,0.8058783,0.40046906,1.7524647,0.07932261
123,1.18074,1.1576642,0.3969463,0.7050578,0.08572001,0.19095099,2.3533912,1.4315848,2.7224777,0.805979,0.40093458,1.7530568,0.0786666
124,1.1798847,1.1559461,0.39524505,0.70354617,0.08504764,0.18958619,2.3636618,1.4330376,2.7286253,0.8072004,0.40107453,1.7538117,0.07763747
