t,u1,u2,u3
6.996996996996997176e+00,7.466515339032356868e-01,-9.456058804575673271e-02,-1.233559384833644579e+00
7.007007007007007182e+00,7.472550260736119387e-01,-1.037770543403229162e-01,-1.232023368468287750e+00
7.017017017017017189e+00,7.479137047323949350e-01,-1.129878886486087586e-01,-1.230348285827199462e+00
7.027027027027027195e+00,7.486272072760641327e-01,-1.221927515265954778e-01,-1.228534107143031129e+00
7.037037037037037202e+00,7.493951487269726597e-01,-1.313913103520693015e-01,-1.226580789301918717e+00
7.047047047047047208e+00,7.502171217333483133e-01,-1.405832393246206902e-01,-1.224488275843482077e+00
7.057057057057057214e+00,7.510926965692932278e-01,-1.497682194656457799e-01,-1.222256496960825611e+00
7.067067067067067221e+00,7.520214211347836519e-01,-1.589459386183454948e-01,-1.219885369500537387e+00
7.077077077077077227e+00,7.530028209556702823e-01,-1.681160914477255464e-01,-1.217374796962689132e+00
7.087087087087087234e+00,7.540363991836781521e-01,-1.772783794405969893e-01,-1.214724669500837573e+00
7.097097097097097240e+00,7.551216365964066313e-01,-1.864325109055752216e-01,-1.211934863922022432e+00
7.107107107107107247e+00,7.562579915973293154e-01,-1.955782009730818727e-01,-1.209005243686768649e+00
7.117117117117117253e+00,7.574449002157940258e-01,-2.047151715953419160e-01,-1.205935658909083941e+00
7.127127127127127260e+00,7.586817761070232535e-01,-2.138431515463866672e-01,-1.202725946356461240e+00
7.137137137137137266e+00,7.599680105521132711e-01,-2.229618764220515637e-01,-1.199375929449876699e+00
7.147147147147147273e+00,7.613029724580353541e-01,-2.320710886399778294e-01,-1.195885418263791244e+00
7.157157157157157279e+00,7.626860083576344485e-01,-2.411705374396108104e-01,-1.192254209526149245e+00
7.167167167167167285e+00,7.641164424096301699e-01,-2.502599788822010840e-01,-1.188482086618379174e+00
7.177177177177177292e+00,7.655935763986162490e-01,-2.593391758508047928e-01,-1.184568819575394283e+00
7.187187187187187298e+00,7.671166897350611968e-01,-2.684078980502823120e-01,-1.180514165085590816e+00
