epoch,parameter1,parameter2,parameter3,parameter4
191,2.352303,-0.028380709,0.31034914,0.079785764
192,2.3551574,-0.029249452,0.3104863,0.07344184
193,2.3579535,-0.030059583,0.31062,0.06717857
194,2.3607268,-0.030899338,0.3107623,0.061057072
195,2.363458,-0.03170509,0.31090236,0.054980353
196,2.3661344,-0.032469552,0.31104156,0.049035523
197,2.3688033,-0.03327657,0.31119215,0.043199923
198,2.3714154,-0.034021787,0.31133595,0.037428617
199,2.3739889,-0.034752335,0.3114812,0.031769644
200,2.3765218,-0.035468917,0.31162697,0.026199205
201,2.3790102,-0.036174443,0.31177765,0.020757081
202,2.381521,-0.036970813,0.3119498,0.015445219
203,2.3839276,-0.037600655,0.3120894,0.010163464
204,2.3863227,-0.038270976,0.31223786,0.004946673
205,2.3886554,-0.03887757,0.3123776,-0.0002014531
206,2.390927,-0.039425276,0.31250954,-0.005242445
207,2.393234,-0.040097594,0.31267118,-0.0101456875
208,2.3955052,-0.040758904,0.312836,-0.014915752
209,2.3977482,-0.041409653,0.31299877,-0.019604161
210,2.399949,-0.042020053,0.31315172,-0.024235373
211,2.4021068,-0.04259863,0.3133008,-0.028790005
212,2.404227,-0.043166406,0.31345037,-0.03325541
213,2.40636,-0.043799013,0.31361836,-0.037624627
214,2.4084327,-0.04436586,0.3137749,-0.04190709
215,2.4104614,-0.044891417,0.31392258,-0.04612708
216,2.4125094,-0.045496605,0.31408986,-0.050259333
217,2.4144635,-0.045961525,0.3142264,-0.054274153
218,2.4164302,-0.046494428,0.31438184,-0.058206223
219,2.4183824,-0.04705651,0.31454885,-0.062032506
220,2.4202836,-0.04756815,0.31470713,-0.06574751
221,2.422153,-0.048067316,0.31486133,-0.06941324
222,2.4240406,-0.048633907,0.31503236,-0.07305415
223,2.4258437,-0.04908573,0.3151773,-0.07663674
224,2.4275928,-0.049474597,0.3153112,-0.0801174
225,2.42937,-0.049949743,0.31546986,-0.08352976
226,2.431104,-0.05037132,0.3156141,-0.08691435
227,2.432787,-0.050726622,0.3157437,-0.090207316
228,2.4344614,-0.051111594,0.31588382,-0.09340401
229,2.4361618,-0.051589236,0.31605193,-0.09651556
230,2.43781,-0.051988073,0.31619853,-0.09957011
231,2.4393995,-0.052309956,0.3163263,-0.10255838
232,2.4410014,-0.052698392,0.3164733,-0.1055148
233,2.4425523,-0.05303767,0.31661314,-0.108383834
234,2.44405,-0.053318646,0.31673872,-0.11120111
235,2.445581,-0.05368596,0.31688702,-0.11394606
236,2.4470682,-0.05398408,0.3170107,-0.116666086
237,2.4485164,-0.05422267,0.317113,-0.1193617
238,2.4499714,-0.05453026,0.31723997,-0.12197362
239,2.451367,-0.05476419,0.3173449,-0.12453366
240,2.4527586,-0.055036288,0.3174688,-0.12697361
241,2.4541032,-0.0552378,0.31756824,-0.12938686
242,2.4554873,-0.05553882,0.31769383,-0.13172837
243,2.456829,-0.055785023,0.31780156,-0.13399205
244,2.4581928,-0.05612405,0.31794122,-0.13615783
245,2.4595265,-0.056456473,0.31808493,-0.13821779
246,2.4608054,-0.056695275,0.3181941,-0.14028001
247,2.4620378,-0.056863,0.31828022,-0.14234866
248,2.4632728,-0.05706632,0.3183815,-0.14436111
249,2.464535,-0.05736016,0.31851658,-0.14629132
250,2.465673,-0.05743247,0.31858057,-0.14821601
251,2.4668927,-0.057682693,0.31870356,-0.15001787
