t,u1,u2,f1,f2
1.5415416,2.8793557,0.792748,0.64312696,-0.35207012
1.5515516,2.8745468,0.7957131,0.64206064,-0.35358113
1.5615616,2.8696384,0.7986692,0.64097416,-0.3550964
1.5715716,2.8646314,0.80161583,0.6398671,-0.35661596
1.5815816,2.8595276,0.8045532,0.6387394,-0.3581399
1.5915916,2.854328,0.8074811,0.63759124,-0.3596678
1.6016016,2.8490336,0.81040025,0.6364231,-0.36119944
1.6116116,2.843645,0.8133102,0.63523495,-0.3627355
1.6216216,2.8381643,0.8162116,0.6340267,-0.36427534
1.6316316,2.832591,0.81910443,0.6327985,-0.36581892
1.6416416,2.8269274,0.8219888,0.63155043,-0.3673659
1.6516516,2.821174,0.82486534,0.6302823,-0.3689165
1.6616616,2.8153305,0.8277343,0.6289946,-0.37047076
1.6716716,2.809399,0.83059573,0.6276874,-0.37202877
1.6816816,2.803379,0.8334507,0.6263604,-0.3735901
1.6916916,2.7972722,0.83629936,0.6250139,-0.3751549
1.7017018,2.7910783,0.839142,0.6236478,-0.37672323
1.7117118,2.7847986,0.84197927,0.6222627,-0.3782949
1.7217218,2.7784328,0.844812,0.6208583,-0.37987
1.7317318,2.7719824,0.8476406,0.61943436,-0.3814484
1.7417418,2.7654474,0.85046566,0.6179916,-0.38303047
1.7517518,2.7588277,0.8532875,0.6165296,-0.38461584
1.7617618,2.7521245,0.85610765,0.61504865,-0.38620463
1.7717718,2.7453377,0.8589258,0.6135486,-0.38779688
1.7817818,2.7384675,0.8617432,0.6120297,-0.38939255
1.7917918,2.731515,0.86456037,0.6104922,-0.39099172
1.8018018,2.7244802,0.86737794,0.608936,-0.39259422
1.8118118,2.717363,0.8701964,0.6073608,-0.3942002
1.8218218,2.7101643,0.8730168,0.60576713,-0.39580977
1.8318318,2.7028837,0.87583935,0.6041551,-0.39742273
1.8418418,2.695523,0.8786651,0.6025248,-0.39903894
1.8518518,2.6880813,0.88149405,0.6008758,-0.40065873
1.8618618,2.6805596,0.884327,0.59920835,-0.40228206
1.8718718,2.6729586,0.88716424,0.59752303,-0.4039083
1.8818818,2.6652784,0.8900063,0.5958195,-0.4055381
1.8918918,2.657519,0.8928534,0.5940977,-0.40717095
1.901902,2.649683,0.8957056,0.59235823,-0.40880692
1.911912,2.6417692,0.8985634,0.5906004,-0.41044572
1.921922,2.6337793,0.90142643,0.5888247,-0.41208744
1.931932,2.6257138,0.90429485,0.5870314,-0.4137319
1.941942,2.6175747,0.90716857,0.58522034,-0.41537887
1.951952,2.6093614,0.91004705,0.5833916,-0.4170282
1.961962,2.6010764,0.91292995,0.581545,-0.41867948
1.971972,2.592721,0.91581714,0.57968134,-0.42033252
1.981982,2.5842962,0.9187073,0.5778,-0.42198718
1.991992,2.5758038,0.9216002,0.57590127,-0.4236433
2.002002,2.567245,0.9244944,0.5739851,-0.42530012
2.012012,2.5586226,0.9273887,0.57205176,-0.4269576
2.022022,2.5499377,0.93028235,0.5701009,-0.42861468
2.032032,2.5411935,0.93317354,0.5681335,-0.4302718
2.042042,2.5323925,0.9360611,0.56614906,-0.43192828
2.052052,2.5235364,0.9389428,0.5641477,-0.43358344
2.062062,2.5146284,0.9418167,0.56212914,-0.43523672
2.072072,2.505672,0.94468117,0.56009424,-0.43688762
2.082082,2.4966688,0.9475336,0.55804265,-0.4385357
2.092092,2.487625,0.95037186,0.5559753,-0.4401798
2.102102,2.4785416,0.9531934,0.5538908,-0.44181985
2.112112,2.4694238,0.9559952,0.5517907,-0.44345495
2.122122,2.4602754,0.9587749,0.5496747,-0.44508418
2.132132,2.4511008,0.96152943,0.5475426,-0.44670713
2.142142,2.4419045,0.9642556,0.54539555,-0.44832295
2.152152,2.4326913,0.96694994,0.54323316,-0.4499308
2.162162,2.423466,0.96960974,0.5410556,-0.45152977
2.172172,2.4142337,0.97223115,0.5388633,-0.45311886
2.182182,2.405001,0.9748106,0.5366566,-0.45469767
2.192192,2.3957722,0.9773451,0.53443617,-0.4562654
2.2022023,2.3865538,0.9798301,0.53220177,-0.45782006
2.2122123,2.3773525,0.982262,0.52995443,-0.45936218
2.2222223,2.368174,0.98463744,0.5276943,-0.4608899
2.2322323,2.3590252,0.98695254,0.525422,-0.4624024
2.2422423,2.3499131,0.9892032,0.5231376,-0.46389908
2.2522523,2.3408442,0.9913859,0.52084255,-0.465379
2.2622623,2.331826,0.9934958,0.5185367,-0.46684074
2.2722723,2.322866,0.9955299,0.5162207,-0.46828377
2.2822824,2.3139718,0.9974842,0.5138958,-0.46970725
2.2922924,2.305151,0.9993544,0.5115622,-0.47110993
2.3023024,2.2964118,1.0011371,0.50922143,-0.4724909
2.3123124,2.2877622,1.0028287,0.5068736,-0.47384945
2.3223224,2.2792106,1.0044246,0.50451976,-0.47518462
2.3323324,2.2707646,1.0059218,0.5021607,-0.4764955
2.3423424,2.2624335,1.0073168,0.49979812,-0.47778085
2.3523524,2.2542255,1.0086058,0.4974322,-0.47904062
2.3623624,2.246149,1.0097854,0.49506456,-0.48027337
2.3723724,2.2382133,1.0108527,0.492696,-0.48147863
2.3823824,2.2304268,1.0118037,0.4903278,-0.4826553
2.3923924,2.222798,1.0126361,0.48796123,-0.4838029
2.4024024,2.2153366,1.0133463,0.48559734,-0.48492056
2.4124124,2.2080505,1.0139322,0.48323753,-0.4860075
2.4224224,2.200949,1.01439,0.4808827,-0.4870629
2.4324324,2.1940403,1.0147179,0.47853446,-0.48808646
2.4424424,2.187333,1.0149131,0.4761945,-0.48907745
2.4524524,2.180837,1.0149735,0.47386402,-0.4900355
2.4624624,2.17456,1.0148965,0.47154427,-0.49095947
2.4724724,2.1685104,1.0146807,0.46923643,-0.49184927
2.4824824,2.1626966,1.0143236,0.46694273,-0.49270424
2.4924924,2.1571267,1.0138234,0.4646638,-0.49352401
2.5025024,2.1518083,1.0131791,0.46240142,-0.49430788
2.5125124,2.14675,1.0123887,0.46015695,-0.4950561
2.5225224,2.1419587,1.0114514,0.45793197,-0.4957676
2.5325325,2.137442,1.0103656,0.4557281,-0.4964425
2.5425425,2.133207,1.0091308,0.4535461,-0.49708018
2.5525525,2.1292613,1.0077456,0.45138842,-0.4976806
2.5625625,2.1256104,1.0062101,0.4492557,-0.4982434
2.5725725,2.1222608,1.0045235,0.44714978,-0.49876884
2.5825825,2.119219,1.0026855,0.4450714,-0.4992559
2.5925925,2.1164896,1.0006958,0.4430223,-0.49970502
2.6026027,2.1140792,0.9985552,0.44100422,-0.5001163
2.6126127,2.1119921,0.99626356,0.4390179,-0.50048935
2.6226227,2.1102328,0.9938213,0.4370647,-0.50082415
2.6326327,2.1088052,0.99122906,0.43514556,-0.5011211
2.6426427,2.1077135,0.98848784,0.43326187,-0.5013796
2.6526527,2.1069603,0.98559874,0.43141472,-0.5016003
2.6626627,2.1065495,0.982563,0.42960548,-0.5017833
2.6726727,2.1064825,0.9793822,0.42783457,-0.5019286
2.6826828,2.1067612,0.9760578,0.42610332,-0.5020367
2.6926928,2.1073875,0.9725922,0.42441243,-0.5021075
2.7027028,2.1083622,0.96898687,0.42276263,-0.5021415
2.7127128,2.1096857,0.965245,0.42115524,-0.5021392
2.7227228,2.1113575,0.96136856,0.4195903,-0.5021004
2.7327328,2.1133769,0.9573605,0.41806832,-0.5020263
2.7427428,2.1157434,0.9532244,0.4165904,-0.5019171
2.7527528,2.1184545,0.9489632,0.41515708,-0.50177294
2.7627628,2.1215086,0.94458026,0.41376802,-0.5015952
2.7727728,2.1249022,0.94008,0.41242415,-0.5013839
2.7827828,2.1286318,0.93546605,0.4111255,-0.5011398
2.7927928,2.1326947,0.93074274,0.4098727,-0.50086397
2.8028028,2.137085,0.925915,0.4086652,-0.5005566
2.8128128,2.1417983,0.9209871,0.40750396,-0.5002192
2.8228228,2.146829,0.9159646,0.4063879,-0.49985224
2.8328328,2.1521707,0.91085196,0.40531754,-0.49945652
2.8428428,2.157817,0.9056556,0.40429282,-0.49903357
